config_id,reward_name,learning_rate,batch_size,buffer_size,gamma,target_update_interval,exploration_fraction,exploration_final_eps,learning_starts,train_freq,gradient_steps,mean_reward_shaped,std_reward_shaped,success_rate_default,mean_length_default,training_time
1,default,5e-05,32,200000,0.99,500,0.8,0.1,10000,1,4,8.28,2.753470537340104,1.0,12.87,956.224613904953
3,default,0.0005,128,100000,0.95,500,0.9,0.2,20000,1,1,7.86,2.5691243644479336,1.0,12.53,309.06813287734985
5,default,5e-05,64,50000,0.999,1000,0.9,0.3,10000,1,1,7.81,2.488754708684647,1.0,13.5,270.86822485923767
4,default,0.0002,32,50000,0.99,500,0.9,0.2,20000,1,4,7.75,2.3339880033967613,1.0,13.11,896.1483459472656
2,default,5e-05,32,50000,0.95,500,0.8,0.3,10000,4,1,-174.9,67.97698139811742,0.16,169.9,104.2752251625061
