Algorithm,Reward Function,Mean Reward (shaped),Std Reward (shaped),Success Rate (default),Mean Length (default),Training Time (s)
DQN,default,7.83,2.70,100.0%,13.0,830.8
DQN,distance_based,8.84,2.61,100.0%,13.0,117.5
DQN,modified_penalty,13.85,1.30,100.0%,13.4,326.2
DQN,enhanced,16.78,2.41,100.0%,13.2,309.0
